chr	start	end	startCpG	endCpG	Mouth	Stomach	Small-intestine	Colon
chr21	46386219	46386449	26135048	26135057	0.07	0.91	0.95	0.94
chr17	78968286	78968511	23272320	23272338	0.08	0.95	0.94	0.95
chr19	43633384	43633645	24777794	24777800	0.02	0.86	0.93	0.88
chr17	17100691	17101032	22460099	22460106	0.03	0.91	0.87	0.90
chr1	161906391	161907051	1509736	1509741	0.08	0.92	0.96	0.95
chr5	1052767	1053471	7572677	7572705	0.05	0.91	0.92	0.92
chr1	46683930	46684241	724181	724186	0.06	0.92	0.93	0.92
chr1	234358782	234358998	2126117	2126122	0.01	0.87	0.87	0.88
chr16	15239520	15239847	21362010	21362029	0.03	0.87	0.90	0.91
chr21	40173370	40173604	26029151	26029157	0.03	0.93	0.89	0.84
chr19	56806912	56807681	25039050	25039071	0.09	0.95	0.97	0.96
chr1	27184230	27185084	469726	469737	0.04	0.92	0.87	0.91
chr18	9012779	9013019	23427334	23427339	0.06	0.94	0.94	0.89
chr3	123473826	123474174	5429341	5429346	0.87	0.01	0.01	0.01
chr16	87871295	87871538	22116442	22116453	0.08	0.94	0.95	0.95
chr14	81439821	81440071	19895069	19895074	0.04	0.91	0.94	0.89
chr8	48910876	48911116	12596453	12596464	0.88	0.00	0.01	0.03
chr11	120006805	120007356	17111727	17111736	0.02	0.93	0.89	0.82
chr5	14749610	14749909	7723322	7723327	0.04	0.86	0.95	0.93
chr1	97184426	97184763	1115853	1115867	0.08	0.94	0.95	0.93
chr16	2485949	2486259	21173302	21173312	0.08	0.95	0.93	0.94
chr18	19581810	19582080	23513521	23513537	0.94	0.01	0.01	0.20
chr17	39674194	39674627	22725251	22725256	0.02	0.93	0.77	0.89
chr14	69719352	69719579	19772458	19772463	0.03	0.85	0.92	0.94
chr21	37425223	37425497	25994615	25994623	0.01	0.88	0.84	0.88
chr7	4663011	4663405	10639336	10639362	0.09	0.96	0.95	0.95
chr1	209114630	209114874	1881458	1881464	0.04	0.87	0.93	0.93
chr17	39741233	39741536	22726215	22726221	0.03	0.91	0.83	0.90
chr2	23758600	23758985	2529246	2529253	0.05	0.90	0.94	0.93
chr20	39139971	39140264	25451996	25452003	0.01	0.81	0.92	0.92
chr1	38731883	38732153	624811	624816	0.94	0.16	0.01	0.01
chr5	176799199	176799879	8975602	8975608	0.05	0.92	0.91	0.91
chr14	84674822	84675031	19916373	19916379	0.08	0.96	0.94	0.92
chr19	5894108	5894389	24204520	24204531	0.03	0.86	0.92	0.93
chr10	81046154	81046380	15397113	15397126	0.02	0.83	0.91	0.93
chr16	12629857	12630059	21329344	21329351	0.07	0.91	0.95	0.95
chr11	96010131	96010391	16911671	16911676	0.93	0.07	0.12	0.01
chr4	170070114	170070443	7350674	7350679	0.94	0.08	0.14	0.03
chr7	22233220	22233635	10797035	10797049	0.04	0.84	0.96	0.95
chr12	125566482	125566707	18425577	18425582	0.09	0.97	0.98	0.94
chr8	100795141	100795833	12980298	12980303	0.10	0.96	0.97	0.96
chr6	33802560	33802913	9435544	9435555	0.06	0.89	0.95	0.96
chr16	80972238	80972511	21996932	21996939	0.06	0.89	0.96	0.95
chr10	3862597	3863045	14692399	14692414	0.05	0.87	0.96	0.94
chr14	100566201	100566528	20083587	20083592	0.06	0.93	0.93	0.90
chr19	19691202	19691616	24489984	24489989	0.91	0.04	0.03	0.07
chr3	23550224	23550489	4658427	4658432	0.96	0.07	0.09	0.14
chr6	137485658	137485871	10180437	10180445	0.07	0.93	0.93	0.94
chr16	356118	356404	21097151	21097161	0.08	0.93	0.96	0.95
chr2	196520660	196520944	3964983	3964989	0.10	0.96	0.95	0.96
chr1	81976042	81976895	1000689	1000696	0.07	0.90	0.96	0.95
chr10	11926624	11927024	14778858	14778863	0.06	0.93	0.94	0.91
chr3	111608706	111609170	5340685	5340690	0.07	0.94	0.92	0.93
chr14	74464899	74465170	19824050	19824056	0.94	0.15	0.02	0.02
chr2	238626265	238626644	4361132	4361140	0.09	0.95	0.95	0.95
chr7	6289955	6290392	10676586	10676591	0.05	0.92	0.91	0.90
chr2	7497174	7497536	2375443	2375449	0.89	0.02	0.04	0.03
chr12	6489621	6489835	17361289	17361294	0.10	0.95	0.96	0.96
chr6	34377659	34377862	9444990	9444995	0.02	0.88	0.91	0.88
chr3	151037295	151037729	5672653	5672658	0.06	0.95	0.91	0.90
chr3	183530698	183531244	5903764	5903772	0.07	0.92	0.95	0.94
chr15	23064445	23064871	20243222	20243227	0.95	0.10	0.01	0.11
chr13	101425730	101426223	19195605	19195610	0.03	0.90	0.92	0.87
chr6	1729566	1729999	9077648	9077656	0.04	0.87	0.95	0.91
chr16	11770332	11770586	21315738	21315745	0.03	0.86	0.90	0.95
chr13	24848646	24848982	18618003	18618009	0.04	0.88	0.92	0.93
chr5	123574146	123574379	8478563	8478569	0.09	0.94	0.97	0.96
chr20	49462486	49462732	25582028	25582035	0.05	0.92	0.91	0.89
chr1	45962026	45962559	715154	715159	0.01	0.81	0.94	0.93
chr15	74290589	74290871	20768056	20768074	0.10	0.96	0.97	0.96
chr8	103728617	103728912	13008848	13008855	0.03	0.85	0.93	0.91
chr2	110465162	110465706	3300569	3300577	0.05	0.93	0.91	0.90
chr21	30006290	30006544	25916778	25916784	0.04	0.87	0.93	0.94
chr12	50254150	50254455	17710474	17710494	0.10	0.96	0.97	0.97
chr8	30508525	30508991	12452731	12452737	0.05	0.90	0.93	0.93
chr16	88365767	88365999	22129511	22129521	0.01	0.83	0.89	0.91
chr11	64658547	64658947	16581082	16581100	0.88	0.01	0.01	0.02
chr11	86702321	86702691	16849477	16849482	0.09	0.95	0.94	0.95
chr15	42234224	42234476	20450916	20450924	0.09	0.95	0.96	0.95
chr14	22984635	22984889	19394227	19394232	0.07	0.94	0.91	0.93
chr15	71647297	71647950	20740964	20740971	0.05	0.96	0.96	0.82
chr11	119961018	119961570	17111092	17111098	0.05	0.93	0.91	0.90
chr15	69823781	69823993	20721949	20721959	0.06	0.88	0.96	0.96
chr9	138797212	138797484	14563171	14563181	0.02	0.78	0.96	0.96
chr13	111954646	111954940	19291136	19291145	0.09	0.94	0.96	0.96
chr2	73161742	73162159	2987109	2987117	0.04	0.86	0.92	0.94
chr16	69019760	69020330	21856715	21856721	0.04	0.91	0.94	0.86
chr9	95479310	95479925	14043053	14043063	0.04	0.87	0.94	0.94
chr9	92157214	92157539	14009717	14009723	0.06	0.92	0.92	0.94
chr7	105821230	105821511	11587617	11587623	0.07	0.92	0.93	0.94
chr20	48526493	48526703	25565717	25565723	0.88	0.03	0.01	0.02
chr17	79032919	79033137	23274477	23274490	0.05	0.89	0.94	0.92
chr1	38492829	38493215	621731	621744	0.02	0.86	0.88	0.91
chr9	72943914	72944148	13848096	13848101	0.04	0.86	0.96	0.93
chr20	31482551	31483041	25355177	25355186	0.02	0.89	0.86	0.88
chr10	49198927	49199750	15124706	15124716	0.03	0.86	0.91	0.93
chr11	35153469	35153943	16326648	16326654	0.05	0.89	0.94	0.93
chr19	33592084	33592424	24605626	24605634	0.90	0.02	0.08	0.04
chr12	96627869	96628178	18080826	18080839	0.06	0.92	0.94	0.93
chr1	15516271	15516688	287063	287069	0.90	0.07	0.01	0.02
chr16	78139216	78139919	21967150	21967157	0.05	0.88	0.95	0.95
chr8	102457790	102458037	12996986	12996994	0.04	0.87	0.93	0.92
chr3	38413168	38413476	4770290	4770298	0.04	0.84	0.95	0.94
chr12	114334085	114334410	18260071	18260079	0.07	0.90	0.96	0.95
chr12	122601849	122602092	18368412	18368419	0.88	0.01	0.01	0.02
chr6	21506146	21506766	9289178	9289184	0.06	0.91	0.93	0.93
chr10	12875480	12875686	14794507	14794516	0.07	0.90	0.96	0.94
chr2	241390143	241390513	4409795	4409803	0.01	0.94	0.80	0.84
chr6	139472253	139472617	10199205	10199212	0.03	0.91	0.77	0.94
chr20	52436571	52436935	25619421	25619428	0.03	0.85	0.92	0.94
chr17	9368861	9369110	22370844	22370856	0.10	0.96	0.96	0.96
chr11	95988224	95988425	16911485	16911490	0.10	0.96	0.96	0.97
chr2	148823518	148823807	3629220	3629226	0.11	0.97	0.98	0.96
chr21	35257109	35257420	25972497	25972506	0.02	0.78	0.95	0.97
chr20	14503098	14503611	25212222	25212228	0.03	0.86	0.93	0.92
chr10	120306791	120307179	15761273	15761279	0.02	0.87	0.86	0.91
chr2	173927542	173928069	3811090	3811095	0.08	0.94	0.95	0.94
chr11	35136984	35137596	16326531	16326539	0.04	0.87	0.95	0.92
chr1	202251198	202251432	1809414	1809419	0.07	0.91	0.95	0.96
chr1	245254387	245254700	2238985	2239002	0.10	0.96	0.96	0.96
chr14	59821175	59822047	19683338	19683347	0.07	0.94	0.93	0.93
chr22	33216378	33216644	26427457	26427462	0.03	0.86	0.91	0.91
chr2	192711322	192711640	3943115	3943128	0.04	0.82	0.96	0.96
chr8	17621128	17621550	12313320	12313326	0.05	0.88	0.93	0.96
chr8	289419	289813	12100784	12100790	0.08	0.94	0.93	0.94
chr11	117055966	117056322	17068695	17068704	0.90	0.01	0.11	0.03
chr1	153534761	153535721	1406114	1406131	0.08	0.96	0.93	0.93
chr16	1741742	1742066	21149048	21149063	0.07	0.93	0.94	0.94
chr1	54813610	54813825	806482	806487	0.87	0.01	0.00	0.01
chr12	19554990	19555465	17483902	17483909	0.03	0.87	0.89	0.93
chr2	85319408	85319663	3076922	3076927	0.08	0.93	0.94	0.94
chr8	125884819	125885233	13162033	13162040	0.02	0.85	0.88	0.92
chr1	205145021	205145372	1844286	1844291	0.06	0.95	0.88	0.91
chr1	113543368	113543678	1235595	1235607	0.08	0.94	0.97	0.94
chr9	98842263	98842510	14087811	14087818	0.07	0.95	0.91	0.92
chr17	43178720	43179083	22789180	22789192	0.04	0.91	0.89	0.89
chr5	76007380	76007653	8160035	8160041	0.07	0.95	0.95	0.91
chr10	105642168	105642555	15637636	15637644	0.07	0.93	0.87	0.95
chr12	70177040	70177459	17906349	17906357	0.07	0.91	0.94	0.94
chr5	167466722	167466996	8860277	8860285	0.88	0.03	0.01	0.02
chr16	2965232	2965441	21187258	21187264	0.08	0.95	0.95	0.94
chr9	111397424	111397689	14194668	14194674	0.03	0.94	0.87	0.86
chr17	73551839	73552046	23152745	23152752	0.90	0.02	0.07	0.04
chr17	5487286	5487711	22302605	22302613	0.02	0.85	0.87	0.93
chr12	52151057	52151472	17734771	17734778	0.09	0.96	0.94	0.95
chr2	236100651	236100881	4324266	4324281	0.03	0.89	0.86	0.91
chr1	961105	961623	13750	13764	0.04	0.87	0.90	0.93
chr4	4310489	4310763	6167555	6167561	0.07	0.92	0.95	0.94
chr1	183167688	183167907	1677638	1677645	0.01	0.92	0.66	0.94
chr1	162515268	162515508	1515414	1515421	0.02	0.85	0.87	0.91
chr16	3693359	3693571	21204366	21204372	0.06	0.94	0.84	0.93
chr16	85568813	85569022	22068368	22068379	0.94	0.15	0.02	0.03
chr3	136676672	136677151	5564071	5564079	0.09	0.95	0.95	0.95
chr9	130812974	130813208	14398093	14398100	0.04	0.90	0.86	0.92
chr9	89883900	89884171	13983201	13983207	0.07	0.93	0.94	0.92
chr2	190493686	190493942	3925427	3925434	0.08	0.95	0.93	0.94
chr18	9648542	9649085	23434184	23434191	0.04	0.86	0.92	0.93
chr17	65606256	65606516	23053213	23053219	0.07	0.91	0.93	0.95
chr2	121699390	121699622	3409146	3409152	0.04	0.95	0.92	0.82
chr8	27139857	27140622	12414983	12414991	0.09	0.95	0.95	0.95
chr16	78986382	78987068	21976960	21976970	0.07	0.93	0.96	0.92
chr9	251501	251758	13409371	13409376	0.03	0.88	0.83	0.93
chr18	46307558	46308024	23717826	23717849	0.90	0.01	0.01	0.08
chr11	10947133	10947339	16141722	16141727	0.08	0.96	0.95	0.93
chr10	4116943	4117249	14695492	14695497	0.05	0.85	0.95	0.96
chr2	72655618	72655976	2983012	2983018	0.10	0.96	0.97	0.96
chr20	35868441	35869090	25418716	25418722	0.09	0.95	0.96	0.95
chr7	101273888	101274207	11533961	11533974	0.01	0.84	0.87	0.91
chr9	124088440	124088794	14305643	14305649	0.00	0.83	0.90	0.89
chr6	15755793	15756176	9233262	9233270	0.09	0.95	0.92	0.96
chr7	50877889	50878217	11059990	11059995	0.07	0.93	0.94	0.92
chr3	142788260	142788530	5616855	5616863	0.10	0.95	0.97	0.97
chr8	37351239	37351495	12501480	12501486	0.04	0.87	0.91	0.94
chr6	42248741	42249231	9537432	9537437	0.04	0.89	0.93	0.90
chr5	171834963	171835217	8906951	8906958	0.02	0.87	0.86	0.92
chr18	9557266	9557579	23433116	23433123	0.06	0.91	0.93	0.94
chr12	89914919	89915176	18026064	18026075	0.97	0.06	0.03	0.22
chr1	41281659	41281903	657584	657595	0.03	0.91	0.84	0.90
chr18	12890120	12890419	23474830	23474840	0.05	0.89	0.93	0.93
chr11	63852734	63853150	16562293	16562315	0.93	0.03	0.20	0.04
chr1	19403538	19403865	350525	350535	0.09	0.96	0.96	0.93
chr3	184518066	184518322	5921069	5921074	0.88	0.02	0.03	0.02
chr11	27434769	27435353	16266089	16266096	0.02	0.92	0.90	0.80
chr4	3388082	3388320	6148312	6148317	0.01	0.87	0.86	0.88
chr13	30167398	30167813	18677606	18677611	0.04	0.92	0.83	0.92
chr11	86080785	86081004	16844322	16844329	0.07	0.91	0.95	0.94
chr5	112521818	112522147	8405710	8405717	0.06	0.93	0.90	0.92
chr22	37414189	37414425	26477929	26477944	0.95	0.17	0.01	0.03
chr9	36543963	36544365	13691741	13691749	0.08	0.92	0.95	0.95
chr14	80188319	80188714	19887040	19887045	0.07	0.91	0.95	0.96
chr21	36391868	36392302	25985689	25985699	0.87	0.00	0.01	0.01
chr2	111992982	111993237	3317390	3317396	0.03	0.83	0.94	0.94
chr15	61383088	61383662	20624094	20624106	0.09	0.95	0.94	0.94
chr2	27910215	27911328	2588700	2588705	0.09	0.95	0.96	0.95
chr16	57773902	57774242	21746238	21746253	0.08	0.92	0.94	0.95
chr16	30464390	30464683	21564458	21564465	0.89	0.05	0.01	0.03
chr1	239832217	239832571	2183271	2183280	0.09	0.94	0.96	0.96
chr8	142235391	142235926	13307585	13307606	0.02	0.81	0.94	0.94
chr3	23763070	23763284	4660295	4660302	0.06	0.92	0.91	0.92
chr7	40883373	40883767	10966046	10966052	0.07	0.88	0.96	0.96
chr11	515013	515667	15996354	15996363	0.07	0.93	0.94	0.91
chr2	197112565	197112872	3969308	3969313	0.04	0.86	0.94	0.93
chr11	2739160	2739442	16055748	16055758	0.07	0.94	0.91	0.93
chr12	89987744	89987957	18026695	18026700	0.06	0.95	0.94	0.86
chr15	75995869	75996122	20795352	20795361	0.07	0.92	0.92	0.93
chrX	2722927	2723244	26804750	26804768	0.08	0.93	0.94	0.95
chr15	72992441	72992755	20754688	20754697	0.04	0.87	0.96	0.91
chr10	12673799	12674014	14791435	14791443	0.90	0.01	0.14	0.03
chr11	14079582	14079959	16168341	16168346	0.03	0.82	0.95	0.94
chr16	81678990	81679330	22008743	22008755	0.01	0.82	0.93	0.91
chr5	103576497	103577111	8349640	8349645	0.03	0.84	0.90	0.95
chr2	205475964	205476280	4043514	4043519	0.93	0.12	0.02	0.03
chr14	20844599	20844880	19371653	19371660	0.87	0.02	0.01	0.02
chr15	40538755	40539009	20421499	20421504	0.07	0.94	0.92	0.93
chr15	42096101	42096334	20448312	20448318	0.10	0.97	0.96	0.96
chr18	56436558	56437027	23802448	23802457	0.01	0.90	0.84	0.85
chr1	8934922	8935238	184760	184767	0.06	0.94	0.89	0.91
chr21	46829616	46829873	26145491	26145502	0.02	0.91	0.83	0.86
chr3	124512334	124512877	5437670	5437680	0.04	0.94	0.89	0.84
chr16	1737383	1737635	21148989	21148996	0.05	0.85	0.96	0.95
chr4	153945322	153945536	7238330	7238340	0.10	0.96	0.96	0.96
chr8	144095648	144095919	13345466	13345474	0.03	0.92	0.83	0.89
chr2	23756426	23756642	2529220	2529227	0.04	0.86	0.93	0.94
chr16	58465838	58466060	21756748	21756753	0.04	0.88	0.89	0.91
chr22	42821468	42821750	26579786	26579793	0.03	0.83	0.94	0.93
chr22	37964840	37965148	26489495	26489500	0.90	0.03	0.06	0.06
chr6	105766687	105767458	9943693	9943701	0.06	0.94	0.88	0.91
chr7	73726562	73726974	11279190	11279198	0.08	0.95	0.94	0.93
chr9	136228867	136229126	14503303	14503311	0.04	0.87	0.90	0.93
chr10	74605925	74606230	15331384	15331391	0.06	0.87	0.96	0.96
chr7	416156	416460	10538522	10538541	0.03	0.86	0.91	0.92
chr17	1662529	1662878	22227727	22227735	0.04	0.91	0.87	0.90
chr12	6635963	6636705	17363771	17363791	0.08	0.94	0.95	0.94
chr5	77175555	77175832	8172358	8172364	0.06	0.91	0.92	0.94
chr16	19794737	19794997	21422921	21422928	0.05	0.91	0.91	0.90
chr8	131116365	131116894	13204618	13204623	0.07	0.95	0.95	0.91
chr11	35133211	35133780	16326496	16326501	0.10	0.93	0.98	0.97
chr17	79961674	79962018	23304427	23304447	0.01	0.83	0.86	0.92
chr15	39827456	39827964	20414331	20414339	0.03	0.92	0.93	0.84
chr15	70703886	70704155	20731745	20731752	0.94	0.18	0.00	0.01
chr7	139471121	139471442	11845127	11845135	0.02	0.79	0.96	0.95
chr22	29765523	29765776	26377610	26377617	0.07	0.90	0.95	0.95
chr1	180554183	180554429	1653880	1653888	0.07	0.94	0.84	0.96
chr17	75317038	75317240	23190924	23190934	0.03	0.96	0.58	0.96
chr16	17360811	17361034	21391722	21391727	0.88	0.03	0.01	0.02
chr1	22464075	22464314	396626	396631	0.01	0.90	0.89	0.82
chr15	58019263	58019742	20589924	20589931	0.08	0.94	0.94	0.94
chr2	98349354	98349712	3179418	3179437	0.08	0.94	0.93	0.95
chr11	107704667	107704927	16985640	16985645	0.96	0.16	0.07	0.05
chr11	12028943	12029311	16150539	16150546	0.04	0.92	0.86	0.89
chr12	13045364	13045597	17436547	17436559	0.88	0.02	0.01	0.02
chr17	76771183	76771775	23219969	23219978	0.02	0.83	0.92	0.91
chr1	89830562	89830956	1055372	1055378	0.03	0.89	0.88	0.88
chr16	8957410	8957893	21277473	21277481	0.91	0.02	0.06	0.10
chr2	65170378	65170759	2912011	2912017	0.04	0.91	0.90	0.88
chr11	102093972	102094454	16949181	16949187	0.03	0.85	0.91	0.92
chr6	26163444	26163973	9329704	9329715	0.92	0.05	0.03	0.10
chr3	52101102	52101345	4926428	4926435	0.09	0.95	0.93	0.95
chr8	86547377	86547717	12874784	12874790	0.06	0.91	0.90	0.93
chr5	58513207	58513530	8021595	8021600	0.91	0.06	0.06	0.03
chr1	8914990	8915213	184460	184468	0.09	0.95	0.94	0.96
chr16	2179859	2180123	21164452	21164463	0.02	0.84	0.92	0.91
chr3	112951743	112952136	5350666	5350672	0.04	0.90	0.88	0.89
chr1	76187907	76188447	963635	963648	0.08	0.94	0.93	0.95
chr15	76913110	76914410	20804902	20804909	0.08	0.94	0.94	0.94
chr12	79845797	79846046	17967047	17967052	0.03	0.82	0.93	0.94
chr16	29516349	29517570	21544276	21544290	0.08	0.94	0.95	0.91
chr7	77350131	77350403	11336729	11336737	0.02	0.86	0.88	0.91
chr22	41091766	41092110	26547647	26547655	0.01	0.80	0.92	0.93
chr5	10684409	10684706	7690118	7690124	0.07	0.90	0.94	0.95
chr17	21099691	21099937	22524695	22524700	0.02	0.89	0.92	0.83
chr2	190917036	190917394	3928543	3928548	0.07	0.92	0.95	0.94
chr2	8675445	8675669	2386407	2386412	0.03	0.85	0.91	0.91
chr2	63350115	63350529	2896704	2896709	0.05	0.93	0.89	0.88
chr7	2088756	2089197	10592058	10592070	0.05	0.87	0.95	0.95
chr2	23728803	23729037	2528724	2528730	0.08	0.92	0.95	0.95
chr14	58922423	58922927	19676242	19676250	0.05	0.87	0.94	0.95
chr11	66673330	66673624	16624580	16624585	0.06	0.96	0.87	0.89
chr16	74490035	74490249	21927354	21927361	0.06	0.90	0.95	0.93
chr11	128764640	128764856	17202543	17202548	0.87	0.01	0.01	0.02
chr9	80600793	80601507	13908057	13908063	0.95	0.05	0.07	0.16
chr10	123335004	123335263	15796117	15796123	0.03	0.80	0.95	0.96
chr7	101653190	101653503	11541349	11541358	0.05	0.83	0.97	0.96
chr15	67921335	67921569	20700392	20700398	0.11	0.96	0.98	0.97
chr12	287322	287716	17277521	17277534	0.06	0.89	0.95	0.94
chr7	42237835	42238397	10976568	10976577	0.04	0.90	0.89	0.91
chr1	24347818	24348298	425308	425313	0.88	0.03	0.02	0.02
chr14	37157546	37157799	19516521	19516527	0.07	0.90	0.94	0.95
chr14	62149143	62149679	19702752	19702757	0.11	0.96	0.96	0.96
chr15	50502319	50502558	20523827	20523833	0.11	0.96	0.97	0.98
chr2	1971182	1971423	2316018	2316026	0.06	0.89	0.91	0.94
chr16	1397470	1397797	21137332	21137355	0.05	0.88	0.93	0.92
chr17	39504835	39505063	22723324	22723330	0.05	0.88	0.93	0.91
chr3	111469114	111469817	5339648	5339659	0.08	0.94	0.95	0.94
chr8	49616548	49617399	12604185	12604206	0.02	0.87	0.87	0.88
chr2	206671013	206671420	4052363	4052375	0.87	0.01	0.01	0.02
chr8	25356508	25357309	12397794	12397805	0.10	0.95	0.97	0.96
chr17	78083216	78083536	23251154	23251162	0.06	0.93	0.88	0.91
chr7	5693423	5693669	10665501	10665509	0.10	0.94	0.97	0.95
chr1	120317413	120317968	1291146	1291151	0.88	0.03	0.01	0.02
chr16	31446654	31447083	21585728	21585748	0.08	0.93	0.94	0.94
chr6	18341592	18341885	9262485	9262492	0.03	0.85	0.93	0.92
chr22	20050019	20050336	26234875	26234883	0.03	0.88	0.88	0.90
chr1	35221212	35221593	578269	578276	0.01	0.87	0.85	0.88
chr16	79042805	79043139	21977723	21977729	0.02	0.88	0.91	0.84
chr2	24398563	24398802	2538188	2538201	0.03	0.83	0.93	0.93
chr1	10174908	10175264	209309	209315	0.04	0.88	0.91	0.90
chr17	39672717	39673108	22725228	22725234	0.03	0.90	0.90	0.87
chr17	7492068	7492295	22336184	22336190	0.03	0.87	0.91	0.90
chr16	15239200	15239470	21362000	21362010	0.06	0.89	0.93	0.93
chr17	76424528	76424780	23213002	23213014	0.05	0.88	0.91	0.92
chr7	139126950	139127315	11840364	11840369	0.05	0.91	0.89	0.92
chr9	123409082	123409569	14298179	14298184	0.96	0.01	0.01	0.26
chr14	23983151	23983563	19409273	19409278	0.03	0.87	0.91	0.91
chr1	28921170	28921513	498862	498870	0.02	0.80	0.93	0.95
chr20	57728424	57728648	25684313	25684321	0.02	0.85	0.87	0.91
chr8	29716934	29717320	12444197	12444204	0.09	0.96	0.94	0.95
chr14	65768578	65769012	19738335	19738340	0.97	0.03	0.08	0.24
chr15	42122176	42122528	20448775	20448782	0.08	0.92	0.96	0.95
chr4	152600706	152601022	7226739	7226745	0.09	0.94	0.96	0.95
chr3	58654090	58654387	4998259	4998268	0.88	0.04	0.01	0.02
chr17	77224879	77225085	23231010	23231018	0.04	0.89	0.91	0.91
chr12	121364108	121364392	18344814	18344820	0.04	0.88	0.94	0.90
chr3	53351695	53352111	4945611	4945618	0.10	0.97	0.95	0.93
chr1	56917214	56917453	825997	826002	0.94	0.15	0.01	0.04
chr19	18874945	18875169	24470773	24470787	0.02	0.93	0.73	0.91
chr2	144762429	144762683	3605404	3605413	0.07	0.89	0.94	0.96
chr17	78649295	78649558	23264053	23264068	0.08	0.93	0.95	0.94
chr14	74849506	74849735	19829420	19829425	0.08	0.93	0.95	0.93
chr1	19944873	19945159	358582	358587	0.05	0.97	0.91	0.83
chr16	9111979	9112205	21280751	21280756	0.09	0.94	0.95	0.95
chr6	130715485	130716028	10126710	10126717	0.05	0.86	0.93	0.95
chr9	126168381	126168609	14330470	14330475	0.10	0.95	0.95	0.97
chr2	31283297	31283638	2622127	2622133	0.93	0.06	0.01	0.13
chr7	44301682	44301946	10997408	10997417	0.05	0.92	0.89	0.89
chr19	42703717	42704085	24765953	24765974	0.03	0.89	0.90	0.89
chr1	94083726	94083943	1092040	1092046	0.95	0.16	0.02	0.04
chr10	76818008	76818211	15354773	15354782	0.05	0.91	0.87	0.91
chr5	139607747	139608294	8626697	8626702	0.92	0.07	0.05	0.07
chr12	131834075	131834335	18503895	18503905	0.06	0.92	0.95	0.90
chr1	17420784	17420992	321157	321163	0.06	0.92	0.90	0.93
chr16	80496891	80497142	21992076	21992082	0.87	0.01	0.01	0.02
chr2	105990524	105990726	3255652	3255658	0.03	0.81	0.95	0.95
chr1	211875140	211875386	1905521	1905527	0.03	0.85	0.91	0.93
chr14	51862291	51862710	19614314	19614322	0.02	0.90	0.82	0.87
chr12	47661246	47661772	17676495	17676501	0.07	0.90	0.93	0.94
chr2	136772806	136773045	3556924	3556929	0.09	0.92	0.97	0.95
chr18	77988245	77988486	24018554	24018565	0.04	0.89	0.91	0.90
chr5	135450169	135450724	8582620	8582625	0.11	0.96	0.97	0.95
chr7	157700974	157701217	12069735	12069743	0.08	0.94	0.92	0.93
chr3	12486912	12487157	4561177	4561183	0.92	0.07	0.10	0.04
chr20	345862	346112	25079887	25079892	0.09	0.95	0.92	0.96
chr11	119562741	119563003	17106140	17106156	0.04	0.91	0.85	0.91
chr1	201980774	201981202	1805130	1805143	0.86	0.01	0.01	0.01
chr2	109575859	109576181	3289770	3289777	0.04	0.87	0.90	0.93
chr15	95770013	95770508	21010914	21010921	0.06	0.94	0.91	0.89
chr7	6059513	6059774	10672193	10672201	0.02	0.84	0.93	0.90
chr17	11871935	11872307	22401040	22401045	0.09	0.96	0.94	0.94
chr6	47667780	47668045	9594207	9594212	0.02	0.94	0.87	0.80
chr2	219976229	219976610	4162661	4162666	0.88	0.01	0.08	0.02
chr14	103453132	103453493	20136661	20136675	0.11	0.96	0.97	0.96
chr6	3518938	3519199	9101694	9101700	0.02	0.91	0.74	0.89
chr2	174025650	174026162	3811989	3811995	0.07	0.93	0.88	0.93
chr1	171154301	171154511	1579619	1579624	0.05	0.86	0.96	0.92
chr6	131705247	131705558	10134173	10134178	0.04	0.94	0.88	0.86
chr9	6566991	6567349	13463721	13463728	0.06	0.91	0.92	0.92
chr14	91743945	91744431	19977604	19977623	0.06	0.87	0.96	0.96
chr2	219738541	219738743	4158449	4158467	0.90	0.03	0.04	0.06
chr1	113532887	113533312	1235451	1235460	0.01	0.86	0.87	0.87
chr8	49609011	49609305	12604082	12604096	0.03	0.85	0.90	0.92
chr11	63974249	63974472	16565324	16565330	0.94	0.02	0.04	0.19
chr2	190479350	190479788	3925347	3925352	0.06	0.91	0.93	0.90
chr1	10516770	10517114	214681	214688	0.02	0.86	0.88	0.89
chr7	105432385	105432829	11583598	11583608	0.09	0.92	0.95	0.96
chr8	128876178	128876434	13187405	13187411	0.04	0.91	0.86	0.89
chr2	225046590	225046803	4209868	4209873	0.04	0.87	0.91	0.91
chr7	74462701	74463287	11293693	11293705	0.06	0.92	0.96	0.89
chr10	119871602	119871846	15757728	15757733	0.07	0.89	0.95	0.94
chr8	38645412	38645857	12520311	12520340	0.01	0.78	0.93	0.94
chr9	33023587	33023881	13647584	13647589	0.06	0.89	0.93	0.94
chr20	44416524	44416741	25507628	25507634	0.06	0.88	0.94	0.95
chr8	28251460	28251673	12427776	12427782	0.08	0.95	0.95	0.92
chr7	90896450	90896702	11419876	11419898	0.05	0.84	0.97	0.96
chr1	31878388	31879013	534823	534830	0.10	0.96	0.95	0.95
chr3	44169284	44169661	4820723	4820729	0.05	0.89	0.93	0.91
chr3	153824409	153824940	5691592	5691598	0.10	0.96	0.95	0.96
chr5	141315107	141315504	8651964	8651969	0.06	0.90	0.94	0.93
chr10	71134320	71134559	15285095	15285101	0.04	0.91	0.86	0.90
chr13	22488768	22489048	18593433	18593438	0.04	0.85	0.93	0.93
